"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14339512";"1";"2025-06-23 09:00:00.000";"26";"3"
"14339661";"1";"2025-06-23 09:00:00.000";"37";"4"
"14341801";"1";"2025-06-23 05:00:00.000";"63";"1"
"14341832";"1";"2025-06-23 09:00:00.000";"125";"1"
"14341853";"1";"2025-06-23 09:00:00.000";"120";"1"
"14341855";"1";"2025-06-23 09:00:00.000";"119";"1"
"14341870";"1";"2025-06-22 09:45:00.000";"68";"1"
"14341925";"1";"2025-06-23 00:15:00.000";"94";"1"
"14341935";"1";"2025-06-23 08:30:00.000";"46";"1"
"14342395";"1";"2025-06-23 08:15:00.000";"91";"1"
"14342396";"1";"2025-06-23 09:00:00.000";"33";"1"
"14342606";"1";"2025-06-23 09:00:00.000";"69";"1"
"14342611";"1";"2025-06-23 09:00:00.000";"66";"1"
"14342645";"1";"2025-06-23 09:00:00.000";"80";"1"
"14342655";"1";"2025-06-22 16:45:00.000";"119";"1"
"14342709";"1";"2025-06-22 16:45:00.000";"112";"1"
"14342740";"1";"2025-06-23 08:30:00.000";"114";"1"
"14342770";"1";"2025-06-22 23:15:00.000";"108";"1"
"14342775";"1";"2025-06-23 07:15:00.000";"107";"1"
"14342787";"1";"2025-06-23 09:00:00.000";"83";"1"
"14342900";"1";"2025-06-23 08:00:00.000";"83";"1"
"14342952";"1";"2025-06-23 00:30:00.000";"76";"1"
"14378472";"1";"2025-06-23 09:00:00.000";"72";"2"
"14378477";"1";"2025-06-23 09:00:00.000";"41";"5"
"14378651";"1";"2025-06-23 09:00:00.000";"75";"2"
"14378652";"2";"2025-06-23 09:00:00.000";"70";"6"
"14406488";"1";"2025-06-23 07:45:00.000";"53";"1"
"14406488";"2";"2025-06-23 09:00:00.000";"40";"1"
"14406656";"2";"2025-06-23 08:30:00.000";"46";"1"
"14406665";"2";"2025-06-23 08:30:00.000";"60";"1"
"14406949";"1";"2025-06-22 18:15:00.000";"123";"1"
"14407394";"1";"2025-06-23 08:15:00.000";"79";"1"
"14407399";"1";"2025-06-23 06:45:00.000";"80";"1"
"14407436";"1";"2025-06-23 08:30:00.000";"80";"1"
"14407439";"1";"2025-06-23 08:00:00.000";"88";"1"
"14407750";"1";"2025-06-23 08:30:00.000";"92";"1"
"14407999";"1";"2025-06-22 18:15:00.000";"63";"1"
"14408007";"1";"2025-06-23 08:30:00.000";"92";"1"
"14408441";"1";"2025-06-23 07:45:00.000";"81";"1"
"14408489";"1";"2025-06-22 16:15:00.000";"48";"1"
"14409319";"1";"2025-06-22 19:30:00.000";"91";"1"
"14410320";"1";"2025-06-22 18:30:00.000";"75";"1"
"14427904";"2";"2025-06-23 05:30:00.000";"46";"1"
"14427954";"1";"2025-06-22 17:15:00.000";"83";"1"
"14429725";"2";"2025-06-22 19:00:00.000";"32";"1"
"14429810";"1";"2025-06-23 05:30:00.000";"26";"1"
"14429810";"2";"2025-06-23 05:15:00.000";"26";"1"
"14429918";"1";"2025-06-23 09:00:00.000";"22";"1"
"14437279";"1";"2025-06-22 23:30:00.000";"37";"1"
"14437279";"2";"2025-06-23 08:30:00.000";"45";"1"
"14437322";"1";"2025-06-23 09:00:00.000";"120";"1"
"14437826";"1";"2025-06-23 09:00:00.000";"44";"2"
"14437889";"1";"2025-06-23 09:00:00.000";"44";"2"
"14437894";"1";"2025-06-23 08:30:00.000";"67";"1"
"14437901";"1";"2025-06-23 09:00:00.000";"48";"1"
"14437917";"1";"2025-06-23 09:00:00.000";"56";"3"
"14437962";"1";"2025-06-23 09:00:00.000";"55";"1"
"14437967";"1";"2025-06-23 09:00:00.000";"44";"3"
"14437981";"1";"2025-06-22 14:45:00.000";"40";"1"
"14438000";"1";"2025-06-23 07:30:00.000";"62";"1"
"14438058";"1";"2025-06-23 09:00:00.000";"38";"7"
"14438066";"1";"2025-06-23 09:00:00.000";"45";"1"
"14438096";"1";"2025-06-23 04:45:00.000";"68";"1"
"14438102";"1";"2025-06-23 07:30:00.000";"66";"1"
"14438184";"1";"2025-06-23 09:00:00.000";"19";"1"
"14438186";"1";"2025-06-23 09:00:00.000";"27";"4"
"14438255";"1";"2025-06-23 09:00:00.000";"54";"2"
"14438352";"1";"2025-06-23 09:00:00.000";"33";"3"
"14438365";"1";"2025-06-23 08:15:00.000";"75";"1"
"14438451";"1";"2025-06-23 09:00:00.000";"27";"1"
"14438452";"1";"2025-06-23 09:00:00.000";"46";"4"
"14516195";"2";"2025-06-23 05:00:00.000";"24";"1"
"14516234";"2";"2025-06-22 11:15:00.000";"14";"1"
